ID, block, element ID, linked transaction ID, initial clock value, final clock value, duration, attributes, actions
2298, CA, 124, -1, 0, 0, 0, 30 45 50 , null
2299, CA, 125, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
2300, CA, 119, -1, 0, 0, 0, 0 45 50 , null
2301, CA, 154, -1, 0, 0, 0, 0 45 50 , null
2302, CA, 120, -1, 0, 0, 0, 0 49 50 , action#0: distance = 49 
2303, CA, 155, -1, 0, 0, 0, 0 49 50 , null
2304, CA, 121, -1, 0, 0, 0, 0 49 50 , null
2305, CA, 139, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
2306, CA, 119, -1, 0, 0, 0, 0 49 50 , null
2307, CA, 154, -1, 0, 0, 0, 0 49 50 , null
2308, CA, 120, -1, 0, 0, 0, 0 51 50 , action#0: distance = 51 
2309, CA, 155, -1, 0, 0, 0, 0 51 50 , null
2310, CA, 121, -1, 0, 0, 0, 0 51 50 , null
2311, CA, 146, -1, 0, 0, 0, 30 51 50 , action#0: speed = 30 
2312, CA, 122, -1, 0, 0, 0, 30 51 50 , null
2313, CA, 152, -1, 0, 0, 0, 30 51 50 , null
2314, CA, 123, -1, 0, 0, 0, 30 49 50 , action#0: distance = 49 
2315, CA, 153, -1, 0, 0, 0, 30 49 50 , null
2316, CA, 124, -1, 0, 0, 0, 30 49 50 , null
2317, CA, 125, -1, 0, 0, 0, 0 49 50 , action#0: speed = 0 
2318, CA, 119, -1, 0, 0, 0, 0 49 50 , null
2319, CA, 154, -1, 0, 0, 0, 0 49 50 , null
2320, CA, 120, -1, 0, 0, 0, 0 47 50 , action#0: distance = 47 
2321, CA, 155, -1, 0, 0, 0, 0 47 50 , null
2322, CA, 121, -1, 0, 0, 0, 0 47 50 , null
2323, CA, 139, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
2324, CA, 119, -1, 0, 0, 0, 0 47 50 , null
2325, CA, 154, -1, 0, 0, 0, 0 47 50 , null
2326, CA, 120, -1, 0, 0, 0, 0 46 50 , action#0: distance = 46 
2327, CA, 155, -1, 0, 0, 0, 0 46 50 , null
2328, CA, 121, -1, 0, 0, 0, 0 46 50 , null
2329, CA, 139, -1, 0, 0, 0, 0 46 50 , action#0: speed = 0 
2330, CA, 119, -1, 0, 0, 0, 0 46 50 , null
2331, CA, 154, -1, 0, 0, 0, 0 46 50 , null
2332, CA, 120, -1, 0, 0, 0, 0 45 50 , action#0: distance = 45 
2333, CA, 155, -1, 0, 0, 0, 0 45 50 , null
2334, CA, 121, -1, 0, 0, 0, 0 45 50 , null
2335, CA, 139, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
2336, CA, 119, -1, 0, 0, 0, 0 45 50 , null
2337, CA, 154, -1, 0, 0, 0, 0 45 50 , null
2338, CA, 120, -1, 0, 0, 0, 0 54 50 , action#0: distance = 54 
2339, CA, 155, -1, 0, 0, 0, 0 54 50 , null
2340, CA, 121, -1, 0, 0, 0, 0 54 50 , null
2341, CA, 146, -1, 0, 0, 0, 30 54 50 , action#0: speed = 30 
2342, CA, 122, -1, 0, 0, 0, 30 54 50 , null
2343, CA, 152, -1, 0, 0, 0, 30 54 50 , null
2344, CA, 123, -1, 0, 0, 0, 30 48 50 , action#0: distance = 48 
2345, CA, 153, -1, 0, 0, 0, 30 48 50 , null
2346, CA, 124, -1, 0, 0, 0, 30 48 50 , null
2347, CA, 125, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
2348, CA, 119, -1, 0, 0, 0, 0 48 50 , null
2349, CA, 154, -1, 0, 0, 0, 0 48 50 , null
2350, CA, 120, -1, 0, 0, 0, 0 47 50 , action#0: distance = 47 
2351, CA, 155, -1, 0, 0, 0, 0 47 50 , null
2352, CA, 121, -1, 0, 0, 0, 0 47 50 , null
2353, CA, 139, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
2354, CA, 119, -1, 0, 0, 0, 0 47 50 , null
2355, CA, 154, -1, 0, 0, 0, 0 47 50 , null
2356, CA, 120, -1, 0, 0, 0, 0 48 50 , action#0: distance = 48 
2357, CA, 155, -1, 0, 0, 0, 0 48 50 , null
2358, CA, 121, -1, 0, 0, 0, 0 48 50 , null
2359, CA, 139, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
2360, CA, 119, -1, 0, 0, 0, 0 48 50 , null
2361, CA, 154, -1, 0, 0, 0, 0 48 50 , null
